Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C6",0805,3,1uF,
"C12, C13, C5",0805,3,47pF,
C2,0805,1,100nF,
C7,0805,1,10uF,
"C8, C9",0805,2,1u,
"D7, D8, D9",0805,3,LED,
J1,MOLEX_1054440001,1,MOLEX 1054440001,
"J2, J3",PinHeader_1x02_P2.00mm_Vertical_SMD_Pin1Left,2,Conn_01x02,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
LOGO1,stockBroker,1,Stock Broker,
LOGO2,RFHazard,1,RF Hazard,
LOGO3,emWave,1,EM Wave,
"R10, R11, R12, R17, R8, R9",0805,6,10k,
"R13, R15, R16, R18, R7",0805,5,1k,
"R14, R19",0805,2,27,
R4,0805,1,5.1K,
SW1,SW_SPST_CK_KMS2xxGP,1,RF_RESET,
SW2,SW_SPST_CK_KMS2xxGP,1,RF_SLEEP,
U1,DBV5,1,TLV70130DBVR,
U2,SOT-23-6,1,USBLC6-2SC6,
U3,SON45P300X300X80-13N,1,FT234XD-R,
X1,XBeeXR900RFMicro,1,DigiXBeeRX900Micro,
